Year,Week,Age,ILI_Percent 
2024,40,0-4 yr,6.130638264244382
2024,40,5-24 yr,3.1750277101276336
2024,40,25-49 yr,1.4326438352972246
2024,40,50-64 yr,0.9276645684412674
2024,40,65+ yr,0.6873388297329412
2024,41,0-4 yr,6.402127045488337
2024,41,5-24 yr,3.3994244861671516
2024,41,25-49 yr,1.48897878575524
2024,41,50-64 yr,0.9674323027214103
2024,41,65+ yr,0.691220647753726
2024,42,0-4 yr,6.583386680969601
2024,42,5-24 yr,3.538925601281909
2024,42,25-49 yr,1.5902918413161902
2024,42,50-64 yr,1.0039560392210722
2024,42,65+ yr,0.7153169078217056
2024,43,0-4 yr,7.0237394545811265
2024,43,5-24 yr,3.8307337832028328
2024,43,25-49 yr,1.6284853120895264
2024,43,50-64 yr,0.9992715005261386
2024,43,65+ yr,0.7301738178115824
2024,44,0-4 yr,7.502266360673946
2024,44,5-24 yr,3.823285955320931
2024,44,25-49 yr,1.7662605556629922
2024,44,50-64 yr,1.0685203997510864
2024,44,65+ yr,0.7470492412334601
2024,45,0-4 yr,8.128894757569439
2024,45,5-24 yr,4.018048886422315
2024,45,25-49 yr,1.8464572627922125
2024,45,50-64 yr,1.1614053636098247
2024,45,65+ yr,0.8221151267650957
2024,46,0-4 yr,8.773940088394173
2024,46,5-24 yr,4.4012549894370885
2024,46,25-49 yr,2.008021515071432
2024,46,50-64 yr,1.2869206290891606
2024,46,65+ yr,0.8560574879921543
2024,47,0-4 yr,9.296558627697815
2024,47,5-24 yr,4.7683205727354085
2024,47,25-49 yr,2.1521467687400917
2024,47,50-64 yr,1.3813466915694128
2024,47,65+ yr,0.9046928862425572
2024,48,0-4 yr,10.304821197630003
2024,48,5-24 yr,5.17081876998587
2024,48,25-49 yr,2.3268543991100925
2024,48,50-64 yr,1.5737814316035332
2024,48,65+ yr,1.0825822041043383
2024,49,0-4 yr,10.131863718512237
2024,49,5-24 yr,4.986937971775517
2024,49,25-49 yr,2.6938253573745623
2024,49,50-64 yr,1.8538014869484996
2024,49,65+ yr,1.3583133666272145
2024,50,0-4 yr,11.040462011507081
2024,50,5-24 yr,6.052581756680004
2024,50,25-49 yr,2.9093953747994017
2024,50,50-64 yr,2.0152238766036574
2024,50,65+ yr,1.4996996008709662
2024,51,0-4 yr,13.359767484678713
2024,51,5-24 yr,8.162886383553912
2024,51,25-49 yr,3.824251949280559
2024,51,50-64 yr,2.5339306717414
2024,51,65+ yr,1.8038403977757553
2024,52,0-4 yr,16.527447389714606
2024,52,5-24 yr,10.144385299569736
2024,52,25-49 yr,5.503712425996794
2024,52,50-64 yr,4.0561284849464165
2024,52,65+ yr,2.9200924240073807
2025,1,0-4 yr,15.781875877854652
2025,1,5-24 yr,8.014173857043364
2025,1,25-49 yr,5.501167547182375
2025,1,50-64 yr,4.3740713224368495
2025,1,65+ yr,3.366862931402108
2025,2,0-4 yr,13.410664232574295
2025,2,5-24 yr,7.335102184657593
2025,2,25-49 yr,4.853866819445197
2025,2,50-64 yr,3.87719232438631
2025,2,65+ yr,2.6983411208228194
2025,3,0-4 yr,14.44342154537511
2025,3,5-24 yr,9.028094613946301
2025,3,25-49 yr,4.808813684596347
2025,3,50-64 yr,3.6764953228707093
2025,3,65+ yr,2.4740622505985637
2025,4,0-4 yr,16.221472244082573
2025,4,5-24 yr,11.05324634779145
2025,4,25-49 yr,5.867603677273135
2025,4,50-64 yr,4.344989418511574
2025,4,65+ yr,2.757286443208413
2025,5,0-4 yr,16.94991023721501
2025,5,5-24 yr,11.935090972056983
2025,5,25-49 yr,6.53495886760446
2025,5,50-64 yr,4.980491508731835
2025,5,65+ yr,3.298912679250341
2025,6,0-4 yr,18.09462150693511
2025,6,5-24 yr,12.576388645829688
2025,6,25-49 yr,6.587953858346297
2025,6,50-64 yr,5.144047257652744
2025,6,65+ yr,3.601576099227245
2025,7,0-4 yr,16.87024238591251
2025,7,5-24 yr,11.645686348754962
2025,7,25-49 yr,6.248350002148834
2025,7,50-64 yr,5.04560995997573
2025,7,65+ yr,3.729869067258102
2025,8,0-4 yr,15.081149585053758
2025,8,5-24 yr,9.453125436454952
2025,8,25-49 yr,5.516575831164619
2025,8,50-64 yr,4.397999081599105
2025,8,65+ yr,3.337047287960094
2025,9,0-4 yr,12.709262342399626
2025,9,5-24 yr,7.447873890581534
2025,9,25-49 yr,4.4048813488918315
2025,9,50-64 yr,3.5409621691202764
2025,9,65+ yr,2.728731069360233
2025,10,0-4 yr,11.74017094017094
2025,10,5-24 yr,6.951109960101324
